name,ssn_solved,ssn_status,pmm_iter,ssn_iter,ssn_obj,pmm_tol_achieved,ssn_time,ssn_peak_ram_mb,qpalm_solved,qpalm_status,qpalm_iter,qpalm_obj,qpalm_tol_achieved,qpalm_time,qpalm_peak_ram_mb,osqp_solved,osqp_status,osqp_iter,osqp_obj,osqp_tol_achieved,osqp_time,osqp_peak_ram_mb
QPTEST,1,0,6,10,4.3718893011433355,3.344826285377152e-07,0.00012908317148685455,98.453125,1,1,7,4.371886847690245,2.7713878246806724e-06,5.61252236366272e-05,100.046875,,,,,,,
QRECIPE,1,0,12,95,-266.61600018024393,7.23307938961957e-08,0.004021292552351952,99.953125,1,1,25,-266.6159285066268,7.975684766456744e-06,0.0009508337825536728,98.5625,,,,,,,
QSC205,1,0,11,93,-0.005812599187674626,8.658002400545243e-07,0.009489625692367554,98.46875,1,1,34,-0.00581484635058647,7.540817509074015e-07,0.0019066650420427322,98.765625,,,,,,,
QSCAGR25,1,0,28,466,201737922.42510477,7.163943791874264e-07,0.1669469177722931,101.09375,1,1,277,201737941.33913258,0.0009258424672788053,0.03307070955634117,98.6875,,,,,,,
QSCAGR7,1,0,26,350,26865982.424281355,6.329435093789351e-07,0.02254600077867508,99.234375,1,1,132,26865927.951936785,0.0014142579177176852,0.004485625773668289,100.1875,,,,,,,
QSCFXM1,1,0,71,1245,16881278.220920585,9.372662216297057e-07,0.6317696254700422,102.921875,1,1,258,16882688.43437653,0.004340391451759029,0.03862362541258335,98.46875,,,,,,,
QSCFXM2,1,0,51,926,27776487.906502437,6.156775420169049e-07,1.5456241257488728,110.265625,1,1,378,27776425.100651115,0.008775195521903388,0.1193294171243906,102.0625,,,,,,,
QSCFXM3,1,0,117,2075,30813847.85809179,9.912065135539855e-07,3.464627208188176,112.546875,1,1,470,30816493.04110246,0.0006405880321886557,0.21788795664906502,102.8125,,,,,,,
QSCORPIO,1,0,41,542,1880.50954675989,3.0935164569206836e-07,0.1044448334723711,102.203125,0,-3,75,0.0,0.00017328598395983247,0.007955709472298622,98.703125,,,,,,,
QSCRS8,1,0,31,485,904.5652913440699,1.4367805233970751e-07,0.46690966561436653,102.53125,1,1,270,904.5602850558504,0.0013738382157267596,0.07257250137627125,100.390625,,,,,,,
QSCSD1,1,0,15,87,8.666702714307354,2.0239851349606325e-07,0.048251207917928696,98.671875,1,1,99,8.666665230088045,3.33997922985853e-06,0.014062374830245972,98.453125,,,,,,,
QSCSD6,1,0,28,361,50.808213893295964,3.631267533708901e-07,0.25406075082719326,102.8125,1,1,243,50.80822113364923,1.1099593639708673e-06,0.06435845978558064,102.25,,,,,,,
